"[{'text': '好用👍', 'rating': 5, 'date': '2024/05/18'}]"
"[{'text': '拿來收納Steam Deck 的充電器剛剛好。', 'rating': 5, 'date': '2024/02/11'}]"
"[{'text': '適合充電或連接電腦時，充電或傳輸線可以在不用取下防震保護套的情況下使用。', 'rating': 3, 'date': '2024/10/20'}, {'text': '可以套在使用中的行動硬碟上算是唯一的特色。', 'rating': 3, 'date': '2024/01/24'}]"
"[{'text': '我買兩個 黃色的充不進去 粉色的充很慢而且還會發燙 很燙的那種 … 直接丟了 一分錢 一分貨', 'rating': 1, 'date': '2025/06/05'}]"
"[{'text': '根本就充不進去 然後一直掉電還發燙…. WTF', 'rating': 1, 'date': '2025/06/05'}]"
"[{'text': '塑膠味重', 'rating': 3, 'date': '2025/04/19'}, {'text': '因為4TB的硬碟比2TB的2.5吋外接硬碟還厚，只能勉強塞進去然後傳輸線放進去會太緊。要裝4TB的2.5吋外接硬碟可能需要找像是布製的軟殼收納包比較合適。除此之外做工還不錯，也有附掛繩。', 'rating': 3, 'date': '2025/02/13'}]"
"[{'text': '👍', 'rating': 3, 'date': '2024/03/10'}]"
"[{'text': '台灣製，讚', 'rating': 5, 'date': '2024/11/17'}]"
"[{'text': '雖然本體外觀是有點灰塵,感覺是真的放很久了,但是目前使用上正常,體積也小,攜帶方便.', 'rating': 5, 'date': '2025/07/29'}, {'text': '好用', 'rating': 5, 'date': '2025/06/06'}, {'text': '雖然是福利品，但外觀無任何傷損，充電也很快速，值得推薦。', 'rating': 5, 'date': '2024/12/15'}, {'text': '真的很輕巧，容量也很足', 'rating': 5, 'date': '2024/11/30'}, {'text': '充電速度不算快 希望可以耐用', 'rating': 3, 'date': '2025/03/05'}, {'text': '1個多月就壞了，送修回來也一樣，已放棄', 'rating': 1, 'date': '2025/02/25'}]"
"[{'text': '特價時CP很好', 'rating': 5, 'date': '2025/11/10'}, {'text': '攜帶方便', 'rating': 5, 'date': '2025/11/01'}, {'text': '超級便宜 外觀好看 充電頭剛好不會太長導致會晃', 'rating': 5, 'date': '2025/11/01'}, {'text': '輕巧小而美 電量捎小', 'rating': 5, 'date': '2025/11/01'}, {'text': '輕巧好用的行動電源，充電蠻快的', 'rating': 5, 'date': '2025/10/14'}, {'text': '手機殼讓充電器插不進去，要拔殼才有辦法', 'rating': 5, 'date': '2025/10/14'}, {'text': 'ok', 'rating': 5, 'date': '2025/09/21'}, {'text': '好便宜啊', 'rating': 5, 'date': '2025/09/03'}, {'text': 'ok', 'rating': 5, 'date': '2025/09/01'}, {'text': '充電速度快，重量輕巧，一般保護殼使用沒問題，很滿意。', 'rating': 5, 'date': '2025/08/27'}, {'text': '充電速度快，重量輕巧，一般保護殼使用沒問題，很滿意。', 'rating': 5, 'date': '2025/08/27'}, {'text': '超好用很推薦。🥰❤️👍', 'rating': 5, 'date': '2025/08/26'}, {'text': '超好用，很推薦。☺️👏👍', 'rating': 5, 'date': '2025/08/26'}, {'text': '支撐架沒想像中好用', 'rating': 4, 'date': '2025/11/17'}, {'text': '線是不通電的瑕疵品，但我也懶得換貨，就這樣加減用吧!', 'rating': 4, 'date': '2025/10/19'}, {'text': 'C頭太短⋯', 'rating': 3, 'date': '2025/10/20'}, {'text': '手機裝保護殼就很可能無法充電，這種款式的行充就是為了方便而設計，但確讓人不想拆殼充電而變成裝飾品', 'rating': 2, 'date': '2025/09/14'}, {'text': '手機裝保護殼就很可能無法充電，這種款式的行充就是為了方便而設計，但確讓人不想拆殼充電而變成裝飾品', 'rating': 2, 'date': '2025/09/14'}, {'text': '接手機的頭太短，導致裝手機殼狀況下根本插不進去，但要拆殼才充電很麻煩<br/>現在誰沒裝手機殼？', 'rating': 1, 'date': '2025/11/04'}, {'text': '用了約莫一週就無法充電進去   我都只有用2.1A去充電  不是快充', 'rating': 1, 'date': '2025/09/28'}, {'text': '有手機殼根本用不了。中間的充電頭太短', 'rating': 1, 'date': '2025/09/05'}]"
"[{'text': '到貨迅速，是一個好的賣家', 'rating': 5, 'date': '2023/12/03'}]"
"[{'text': '顏色比想像中淡', 'rating': 4, 'date': '2024/06/24'}]"
"[{'text': '顏色偏粉，與圖片有些差異。', 'rating': 4, 'date': '2025/10/28'}]"
"[{'text': '只是試試看這種耳機結果意外適合戴眼鏡的自己', 'rating': 5, 'date': '2025/11/11'}]"
"[{'text': '包裝完整   送貨快速', 'rating': 5, 'date': '2025/06/08'}, {'text': '之前買的是P10000QCD，相比之下C100沒有了數位電量螢幕後，整體更薄且變得更輕巧了，而且C100多了Micro USB充電插頭，算是多了一種充電選項，也更適合攜帶了。', 'rating': 5, 'date': '2025/04/04'}]"
"[{'text': '高品質，高CP值，24H到貨沒話說！👍', 'rating': 5, 'date': '2024/07/27'}, {'text': '方便攜帶', 'rating': 5, 'date': '2025/02/04'}, {'text': '充電速度快 讚', 'rating': 5, 'date': '2025/01/04'}, {'text': '充電非常快速，但是只能充大概70% 我的是S21', 'rating': 5, 'date': '2024/12/12'}, {'text': '快充的速度很不錯，輕薄易攜帶，有品牌的用起來也比較安心', 'rating': 5, 'date': '2024/07/14'}, {'text': '讚！', 'rating': 5, 'date': '2025/11/17'}, {'text': '已經連續使用過很多次，沒有故障等問題，不愧是大廠產品，品質就是有保障，比蝦皮好太多了。', 'rating': 5, 'date': '2025/10/16'}, {'text': '機身 小巧，便於攜帶，<br/>充電速度不俗', 'rating': 5, 'date': '2025/10/08'}, {'text': '尚可', 'rating': 5, 'date': '2025/08/18'}, {'text': '因為經常出差，手機的續航力對我而言至關重要。 自從使用了SP廣穎QD50快充直插式行動電源，我的旅程變得更加無憂。 <br/><br/>這款行動電源僅95克，尺寸如名片般小巧，輕鬆放入口袋或手提包中，隨身攜帶毫無負擔。20W PD快充技術，能在30分鐘內為我的手機充電至50%，大幅減少等待時間。5000mAh的容量足以應對一天的使用需求，時刻都能保持手機電量充足。 <br/><br/>最讓我驚喜的是其直插式設計，免去攜帶傳輸線的煩惱，隨插即用，提升了使用的便利性。 此外，SmartSHIELD安全系統提供12項全方位防護，讓我在使用時更加安心。這款行動電源不僅外型時尚，功能也非常實用，是我工作與旅行中的得力助手。', 'rating': 5, 'date': '2025/05/30'}, {'text': '充電充很快，不太會鬆掉', 'rating': 5, 'date': '2025/05/03'}, {'text': '商品正確，送貨效率快，非常值得回購！', 'rating': 5, 'date': '2025/03/30'}, {'text': '質感好, 充電快', 'rating': 5, 'date': '2024/12/23'}, {'text': '超級好用 但容量小 很快沒電.但是充電也很快.讚', 'rating': 5, 'date': '2024/09/16'}, {'text': '好用輕巧 特價優惠中 非常推薦', 'rating': 5, 'date': '2024/08/27'}, {'text': '方便 充電也蠻快的 出門小包包很好用', 'rating': 5, 'date': '2024/08/20'}, {'text': '電源鍵只能開不能關，質感不錯。', 'rating': 5, 'date': '2024/08/11'}, {'text': '實體很讚！', 'rating': 5, 'date': '2024/08/05'}, {'text': 'CP值挺好的商品，推薦給大家！', 'rating': 5, 'date': '2024/07/28'}, {'text': 'CP值挺好的商品，推薦給大家！', 'rating': 5, 'date': '2024/07/28'}, {'text': '快充的速度很不錯，輕薄易攜帶，有品牌的用起來也比較安心', 'rating': 5, 'date': '2024/07/14'}, {'text': '很符合我的需求，本身也不錯', 'rating': 5, 'date': '2024/06/18'}, {'text': '會發很燙，不能上飛機危險', 'rating': 4, 'date': '2025/07/04'}, {'text': '電量讓人很失望，基本上插在ipad上很快就沒電了<br/>記得以前SP還蠻好的說⋯⋯<br/>不過外觀真的很漂亮所以不打太低<br/>基本上iPhone 16pro充一次就不夠了⋯⋯<br/>而且幫此行充充電時間也很久，不如手機直接充個20分鐘<br/>目前唯一想的到的就是拿來拍影片可以插著補電', 'rating': 3, 'date': '2024/12/01'}, {'text': '因為收到貨品時寄送錯誤顏色，跟客服反應廠商回收，又再次反應拖了很久（半個月吧），才終於拿到希望品質別讓我太失望。', 'rating': 2, 'date': '2024/07/17'}, {'text': '右邊的那個孔只能充行動電源(輸入)而已，沒辦法充電手機或平板，被圖示騙了。<br/>物流說預計13:00前到，結果到15:00多才到。', 'rating': 1, 'date': '2024/08/28'}]"
"[{'text': '速度很快 物品很棒 辛苦pchome人員了', 'rating': 5, 'date': '2025/01/15'}, {'text': '輕巧便攜，可以放口袋充電', 'rating': 5, 'date': '2024/11/22'}, {'text': '出國前臨時想到需要用，下單後隔天就到貨，剛好可以帶出門，輕巧實用', 'rating': 5, 'date': '2024/10/20'}, {'text': '旅遊好幫手，便宜好用CP值高！', 'rating': 5, 'date': '2024/09/01'}, {'text': '漂亮、迷你、好攜帶、好用，所以又買一個', 'rating': 5, 'date': '2024/09/01'}, {'text': '快充，攜帶性都足夠了', 'rating': 5, 'date': '2024/08/31'}, {'text': '重量輕巧好攜帶，外出充電方便快速。', 'rating': 5, 'date': '2024/08/30'}, {'text': '品質好。充手機跟回充速度都蠻快的。', 'rating': 5, 'date': '2024/08/30'}, {'text': '買給爸媽一人一個當禮物，輕巧攜帶方便', 'rating': 5, 'date': '2025/08/18'}, {'text': '顏色很好看，小小一個攜帶也很方便', 'rating': 5, 'date': '2025/04/10'}, {'text': '很棒很喜歡 期待下次回購', 'rating': 5, 'date': '2025/01/15'}, {'text': '很好攜帶也蠻好用的，適合一天出門使用', 'rating': 5, 'date': '2024/09/27'}, {'text': '商品滿意👍', 'rating': 5, 'date': '2024/09/17'}, {'text': '輕巧好用！', 'rating': 5, 'date': '2024/09/17'}, {'text': '外型美 充放電快速', 'rating': 5, 'date': '2024/09/11'}, {'text': '很方便', 'rating': 5, 'date': '2024/09/02'}, {'text': '外殼質感不錯，可惜只有單向充電，只能一次給一個設備用，可能是品牌緣故，所以有點小貴', 'rating': 5, 'date': '2024/09/02'}, {'text': '漂亮、迷你、好攜帶、好用', 'rating': 5, 'date': '2024/09/01'}, {'text': '優良', 'rating': 5, 'date': '2024/08/26'}, {'text': '小而好用', 'rating': 5, 'date': '2024/08/25'}, {'text': '充電快！', 'rating': 5, 'date': '2024/08/24'}, {'text': '整體很好又充電快速，不過支撐的小架子有點軟。', 'rating': 5, 'date': '2024/08/20'}, {'text': '攜帶方便', 'rating': 5, 'date': '2024/08/18'}, {'text': '好用', 'rating': 5, 'date': '2024/08/18'}, {'text': '小巧好攜帶', 'rating': 5, 'date': '2024/08/18'}, {'text': '寄送速度快，包裝完整，價格便宜，真是物超所值！', 'rating': 5, 'date': '2024/08/17'}, {'text': '簡便易攜，方便隨身使用。', 'rating': 5, 'date': '2024/08/17'}, {'text': '實用', 'rating': 5, 'date': '2024/08/17'}, {'text': '使用起來非常方便，好用', 'rating': 5, 'date': '2024/08/17'}, {'text': '馬卡龍的繽紛淡雅藍，收到實物的顏色比商品照顏色更令人討喜。(*¯︶¯*)', 'rating': 5, 'date': '2024/08/13'}, {'text': '口袋型的行動電源，真的旅遊好幫手，沒電時可以隨插即用。', 'rating': 5, 'date': '2024/08/06'}, {'text': '充電速度很慢', 'rating': 3, 'date': '2024/09/22'}, {'text': '舊款還賣這個價，蝦皮這個價是新款有充電線', 'rating': 3, 'date': '2024/08/27'}, {'text': '用不到3次就壞了，品質真差', 'rating': 1, 'date': '2024/08/27'}, {'text': '根本沒辦法用也沒辦法退貨', 'rating': 1, 'date': '2024/08/09'}]"
"[{'text': '長寬比一般手機小，容量也夠一天使用，不會太笨重，攜帶也方便，很滿意👍', 'rating': 5, 'date': '2025/03/08'}, {'text': '長度和原子筆差不多,重量剛好可以隨身攜帶.', 'rating': 5, 'date': '2025/06/30'}, {'text': '雖然沒有上一代的液晶顯示電量<br/>但這一代的體積跟外型更方便攜帶', 'rating': 5, 'date': '2025/06/03'}, {'text': '快充 好用威剛就是讚 回購很多次', 'rating': 5, 'date': '2025/01/21'}, {'text': '很輕便，價格便宜，如果要充更飽可以往上再買', 'rating': 5, 'date': '2025/11/13'}, {'text': '充電速度快⚡️攜帶方便👍🏻', 'rating': 5, 'date': '2025/10/13'}, {'text': '價格非常滿意，輕薄攜帶很好用，手機充電很快！', 'rating': 5, 'date': '2025/10/13'}, {'text': '非常輕薄 旅遊很適合', 'rating': 5, 'date': '2025/10/13'}, {'text': '感謝PChome團隊與物流的快速服務及廠商優良品質包裝完整的商品， 推薦 !', 'rating': 5, 'date': '2025/09/27'}, {'text': '出貨速度很快，adata行動電源品質還不錯，應該可以撐個3-5年，價格也蠻優惠的。', 'rating': 5, 'date': '2025/09/22'}, {'text': '不錯。', 'rating': 5, 'date': '2025/08/13'}, {'text': '輕巧不重👍', 'rating': 5, 'date': '2025/08/02'}, {'text': '很輕薄好攜帶', 'rating': 5, 'date': '2025/07/31'}, {'text': '物超所值/質，大小重量沒負擔，太讚了!', 'rating': 5, 'date': '2025/07/31'}, {'text': '商品品質很好，出貨速度很快', 'rating': 5, 'date': '2025/07/06'}, {'text': '大小適中,重量也方便隨身攜帶. 充飽三次手機,電源燈還是顯示滿格.', 'rating': 5, 'date': '2025/06/30'}, {'text': '再次回購。國產品牌。<br/>體積小，外表不會留指紋，細紋溝槽也能避免滑落。', 'rating': 5, 'date': '2025/06/20'}, {'text': '輕薄便宜的選擇還有快充，很滿意了', 'rating': 5, 'date': '2025/06/18'}, {'text': '大小還好，只是有點滑', 'rating': 5, 'date': '2025/06/10'}, {'text': '有明顯標示，出國不用怕', 'rating': 5, 'date': '2025/05/31'}, {'text': '材質不錯喔', 'rating': 5, 'date': '2025/05/30'}, {'text': '快速', 'rating': 5, 'date': '2025/05/26'}, {'text': '不好很重，隨身攜帶夠用了。還可以上飛機', 'rating': 5, 'date': '2025/05/23'}, {'text': '好用，之前買過容量更大的', 'rating': 5, 'date': '2025/05/12'}, {'text': '到貨速度很快，超級滿意', 'rating': 5, 'date': '2025/05/11'}, {'text': '簡約、輕薄充電快速👍', 'rating': 5, 'date': '2025/04/26'}, {'text': '東西已經收到了<br/>使用起來沒有什麼問題<br/>不過電量確實比比較少<br/>小顆容量的就是這樣<br/>給予推薦喔', 'rating': 5, 'date': '2025/04/25'}, {'text': '不錯不錯，很輕。大牌的產品就是好。簡單實用。', 'rating': 5, 'date': '2025/04/20'}, {'text': '商品不錯，可以使用', 'rating': 5, 'date': '2025/03/25'}, {'text': '寄貨快速，商品跟廠商圖片所示一樣，充電孔有miniusb跟typec兩種', 'rating': 5, 'date': '2025/02/18'}, {'text': '寄貨快速，商品內容跟廠商圖片所示一樣，', 'rating': 5, 'date': '2025/02/18'}, {'text': '好看也好用', 'rating': 5, 'date': '2025/02/17'}, {'text': '要帶出國用的，便宜又簡單，充電快，之前租過一小時15元，買一顆比較划算。', 'rating': 5, 'date': '2025/02/10'}, {'text': '還不錯，手機可以充二次，放外套口袋不會覺得很重，唯一的缺點就是附的線很短', 'rating': 5, 'date': '2025/02/06'}, {'text': '高cp值，充電速度快', 'rating': 5, 'date': '2025/01/28'}, {'text': '長度比想像中長一點，算薄但不算輕；手機充電跟本體充電都會在插口位置微微發熱，冬天來說不算多熱的溫度；充電滿快速，這點很滿意。', 'rating': 5, 'date': '2025/01/18'}, {'text': '真的跟之前買家分享的一樣，攜帶方便充電快速', 'rating': 5, 'date': '2025/01/16'}, {'text': '回購第二次，輕薄好攜帶。', 'rating': 5, 'date': '2024/12/26'}, {'text': '尺寸、重量適中，放在小袋子裡或拿著走路一整天應該都沒問題 👍', 'rating': 5, 'date': '2024/12/24'}, {'text': '讚啦👍', 'rating': 5, 'date': '2024/09/05'}, {'text': '好用，輕巧方便攜帶', 'rating': 5, 'date': '2024/08/21'}, {'text': '10000mAh 這個價格 算合理了。以後 可能會更貴。要怪 就怪 Trump 和 Elon 那個邪人。', 'rating': 4, 'date': '2025/03/24'}, {'text': '輕薄的確輕薄，三格電狀況下將黑鯊三從22%充到68%，就完全沒電了，很好奇這電量真有10000mAh，下次充飽電再試一次。', 'rating': 3, 'date': '2025/02/15'}, {'text': '本以為台灣品牌會是台灣製，結果收到商品才看到是中國製，而且商品規格說明也沒有寫製造產地。', 'rating': 3, 'date': '2025/01/22'}, {'text': '太重了！', 'rating': 2, 'date': '2025/03/06'}]"
"[{'text': '商品很好，但網家速配爛到有剩', 'rating': 5, 'date': '2024/10/02'}]"
"[{'text': '這款在蝦皮賣2xx,但因為pchome有送p幣100，所以在這邊買了。我的手機是redmi note 13 4 g，行動電源在滿格的狀態下，2個多小時，將手機從30幾%充到90幾%，然後就沒電了。行動電源在沒電的狀態下，充大概2個半小時，電力可充滿', 'rating': 4, 'date': '2025/03/09'}]"
"[{'text': '買錯了，這顆只有2600mah喔，要4300mah要買507L', 'rating': 5, 'date': '2025/09/03'}]"
"[{'text': '注意他的額定電容很低、沒有type-c孔', 'rating': 3, 'date': '2024/05/21'}]"
"[{'text': '商品寄送錯誤', 'rating': 1, 'date': '2024/02/06'}]"
"[{'text': '小巧好用', 'rating': 5, 'date': '2025/07/11'}, {'text': '小巧好用', 'rating': 5, 'date': '2025/07/11'}, {'text': '商品本身沒有問題，但是包裝隨便，沒有做任何防護，一顆行動電源在箱子裡滾來滾去，沒有放任何防撞的東西。', 'rating': 2, 'date': '2025/04/15'}]"
"[{'text': '一次兩顆還是很便利', 'rating': 5, 'date': '2024/03/31'}]"
"[{'text': '第一次使用就斷裂！品質太差了，又不是廉價沒品牌商品', 'rating': 1, 'date': '2024/10/15'}]"
"[{'text': '產品不錯，不過充電的時候會漏電', 'rating': 5, 'date': '2025/09/02'}, {'text': '充電夠快', 'rating': 5, 'date': '2025/08/29'}]"
"[{'text': '很輕巧。為它本身充電的線需自備', 'rating': 5, 'date': '2025/08/24'}]"
"[{'text': 'iPhone 15 室溫20度<br/>從40% 充到80% 約60分鐘', 'rating': 5, 'date': '2025/01/26'}, {'text': '方便 好用 在攜帶性跟電量有很好的平衡 推薦', 'rating': 5, 'date': '2025/01/09'}, {'text': '行充很小很輕<br/>攜帶也方便<br/>重點是吸很緊（沒手機殼的情況下<br/>因為蝦皮官方只有宅配<br/>pchome有超取<br/>真的很方便', 'rating': 5, 'date': '2024/11/05'}, {'text': '質感很好，不會被女王打槍的大小，還不買起來!', 'rating': 5, 'date': '2025/11/04'}, {'text': '比磁吸5000的充電速度要慢，常遇到充電過熱而停止充電的狀況。', 'rating': 5, 'date': '2025/10/15'}, {'text': '很有質感，使用方便', 'rating': 5, 'date': '2025/09/24'}, {'text': '已經購買 小孩很愛吃', 'rating': 5, 'date': '2025/09/09'}, {'text': '很好用 CP值很高', 'rating': 5, 'date': '2025/09/01'}, {'text': '質感很好，可惜不確定有無支援PD2.0和QC3.0協定', 'rating': 5, 'date': '2025/04/30'}, {'text': '岀貨速度快，包裝完整，品質ok', 'rating': 5, 'date': '2025/03/25'}, {'text': '原廠品質沒有問題', 'rating': 5, 'date': '2025/03/19'}, {'text': '出貨快速，吸力也很夠!外型簡單大方，後方有支架可立，很方便', 'rating': 5, 'date': '2025/03/16'}, {'text': '比起傳統尿袋式的行動電源方便多了，還可以當支架；充電時的溫度要注意，不要在高溫環境使用比較保險！', 'rating': 5, 'date': '2025/03/02'}, {'text': '很棒，東西很快就到貨了', 'rating': 5, 'date': '2025/02/12'}, {'text': '方便 好用', 'rating': 5, 'date': '2025/01/13'}, {'text': '除了厚了點一切都很美好', 'rating': 5, 'date': '2025/01/03'}, {'text': '雖然無法明確知道剩餘電量，但以這個價格來說品質跟質感已經物超所值', 'rating': 5, 'date': '2025/01/01'}, {'text': '小米是蘋果最好的周邊品牌', 'rating': 5, 'date': '2024/12/22'}, {'text': '蠻方便的，充電速度尚可，觸感也親膚，就是價格偏高，', 'rating': 5, 'date': '2024/12/12'}, {'text': '是我心目中的行動電源，希望愈來愈薄。', 'rating': 5, 'date': '2024/12/02'}, {'text': '簡單好用', 'rating': 5, 'date': '2024/11/03'}, {'text': '快速到貨，非常滿意～', 'rating': 5, 'date': '2024/11/01'}, {'text': '非常好用 磁吸也夠強', 'rating': 5, 'date': '2024/11/01'}, {'text': '實際商品摸起來很舒服，使用上目前都很好。<br/>這個行動電源比想要中輕薄～～', 'rating': 5, 'date': '2024/10/27'}, {'text': '用電量大時，手有點燙<br/>但整體不錯', 'rating': 4, 'date': '2025/04/11'}, {'text': '我犀牛盾手機殼磁吸充電斷斷續續', 'rating': 4, 'date': '2024/11/12'}, {'text': '攜帶是蠻方便的，但是幫手機充電一陣子後會一起發燙', 'rating': 3, 'date': '2024/12/05'}, {'text': '行動電源充了一整天，使用時只能將iPhone 14 pro 49%充到75%就沒電，不知道我是不是拿到瑕疵品', 'rating': 1, 'date': '2024/12/24'}]"
"[{'text': '初次使用充電前，好像電充不進去。<br/>充 半小時“ 活化”後，就可從數顯充電器看到此行動電源正以15-18 w充電中。<br/>399 購得此物，真划算。', 'rating': 5, 'date': '2025/05/18'}, {'text': '如預期，充電速快，方便好用^_^', 'rating': 5, 'date': '2024/03/04'}, {'text': '除了重了一點，其他都很滿意', 'rating': 5, 'date': '2024/02/26'}, {'text': '外出好幫手', 'rating': 5, 'date': '2024/02/22'}]"
"[{'text': '品質不錯，但接頭的部分如果能再做得更穩的話一定會更好用喔，不然稍微弄到一下就從手機上掉下來砸到自己，還蠻痛的。', 'rating': 5, 'date': '2024/08/11'}]"
"[{'text': '充電很快，出國帶一小顆，就很夠用了，幾乎都還有剩電量～', 'rating': 5, 'date': '2025/04/01'}]"
"[{'text': '實際不像所說的那樣有10000毫安，pro12中古手機充電60%至近90%，就沒有電了!', 'rating': 3, 'date': '2025/10/30'}]"
