text,重量體積_mentioned,重量體積_score,重量體積_sentiment,充電速度_mentioned,充電速度_score,充電速度_sentiment,接口相容性_mentioned,接口相容性_score,接口相容性_sentiment,外觀材質_mentioned,外觀材質_score,外觀材質_sentiment,價格_mentioned,價格_score,價格_sentiment
(開箱)POLYBATT磁吸 Magsafe 三用快充行動電源，輕薄短小好攜帶，手機的最佳能量助手,True,0.2,neutral,True,0.2,neutral,False,,,False,,,False,,
行動電源推薦,False,,,False,,,False,,,False,,,False,,
但都很亮    不用為反而反吧 || 用快10年     你還想怎樣,False,,,True,0.2,neutral,False,,,False,,,False,,
根據官方太陽能板充電0.8W ，從0~100% 要曬太陽55個小時。 以白天日照六小時來說，大概充個10%實際可能更低。 || 我i16 Pro差不多直曬 2～3 小時，可補個 3～7%，供你參考。 || 可以，雙 USB-A 5V/2.1A 輸出，我幾乎都手機＋相機一起充 || 很方便，白天曬太陽就能充電，好用！,True,-0.7395297884941101,negative,True,-0.989402174949646,negative,True,-0.9887511134147644,negative,False,,,False,,
對啊！我連Macbook都有弄！ 我放在Threads || 移動很方便！ || 我是用在MacBook Air跟iPad Air快沒電救援用！依照容量來看應該充不飽 || 對！你懂的 || 我覺得是很方便啦！移動時不會釣著尿袋  還可以用在MacBook Air上呢 || 買了2！哇噻！～我是不是該業配？？？ || 您太專業了！ || 這東西其實蠻多公版的吧🤔！剩下就要看品質了！,False,,,True,0.2,neutral,False,,,False,,,False,,
小米(https://www.mi.com/tw/support/safety-notice/)/ANKER(https://news.pts.org.tw/article/772762)。 || https://www.mi.com/tw/support/safety-notice/,True,0.2,neutral,False,,,False,,,False,,,False,,
真的一顆顆看喔，那不是很拖時間嗎?出境安檢會因為這個大排長龍吧 || 日本，標示不清的那顆我是沒打算帶了，不知道2013那顆會不會因為太老而被攔 || 2023跟2013那兩顆我不會帶去，只是想了解一下23這樣沒標容量，標示又有點模糊，以及13這樣老的電池，在安檢時是否會被特別關照 || 我就在想大機場還要一顆一顆看的話，不怕安檢塞爆嗎? || 選你正解，出國直接租比較省事了 || 嘿!我還真沒想,True,-0.769847571849823,negative,False,,,False,,,False,,,False,,
我是到中華電信買MEGA KING這牌子的10000準固態防爆行動電源，店員說這是台灣製造兩年保固，我就買了。用了充電速度快，無線充電也支援Qi2所以還很方便，隨機也附贈收納袋很方便。,False,,,True,0.2,neutral,True,-0.9936044812202454,negative,False,,,False,,
[讚]5 || 贊同5~,False,,,False,,,False,,,False,,,False,,
圖片上字體這麼好辨認 || 刪 || 不知道該取什麼名在淘寶搜尋貼上網址 不能直接打開-.- || 不知道該取什麼名去找集運倉庫就可以了 找到之後把集運倉庫地址貼上就可以購買 || 又不是越大越好，那款賣點是貼著薄，你把10000mAh跟手機一起拿著半小時試試 || bad2bad沒事幹麻把行動電源貼著手機用？當然是把手機充飽再用不是常識嗎？你沒聽說手機邊充電邊用傷手機嗎？,True,0.2,neutral,True,-0.9495072364807129,negative,False,,,False,,,False,,
PO 一下 momo 的購買證明啊 || 雖然中國很多山寨沒錯，但其實有很多是台灣人賣家，也不一定是大陸賣家 || ...別說太快，真的超多仿的 || 沒錯，行動電源沒多少錢，買了就用吧。陸版=仿版，仿版=陸版，沒差別啦，怕它自燃，就回收，或1元賣掉，強調陸版=仿版就好，買去用的人自己注意安全,True,-0.6250226497650146,negative,True,0.2,neutral,False,,,False,,,True,-0.9692422151565552,negative
是,False,,,False,,,False,,,False,,,False,,
這次新色真的很燒 || momo有賣喔 || 已經開賣了 你可以到momo看看歐 || 這大小真的很剛好 不然每次包包都放不下,True,-0.9783600568771362,negative,False,,,False,,,False,,,False,,
不是微溫～但也沒燙到不能摸，像是拿熱飯的碗，但是不會燙到手～卻又不會一直想久摸的程度＠＠ || 樓主這顆輸出規格5V2.1A，差不多10W而已....個人覺得10W就發熱，應該是有點問題...,False,,,True,-0.526398777961731,negative,False,,,False,,,False,,
5800,False,,,False,,,False,,,False,,,False,,
從香港到澳門屬於跨境旅遊，不是中國大陸境內航班，因此一般不需要3C標誌。澳門與香港有獨立的入境政策，目前沒有強制要求攜帶3C標誌。,True,-0.8073837161064148,negative,False,,,False,,,False,,,False,,
"感謝,我也買了torras用看看 || 難怪有人說安卓跟磁吸無緣或很難用,原來是這樣",False,,,False,,,False,,,False,,,False,,
感謝你,False,,,False,,,False,,,False,,,False,,
我沒有摔到，也破了，就在手機拔下來瞬間聽到碎裂聲。產品本身設計有問題，而且用玻璃很滑，根本就設計不良，反推產品+1 || 我也是玻璃背板莫名自己裂開磁吸充電也一樣 燙得誇張 應該對鋰電池壽命影響滿大的現在充電會用半導體散熱器幫這行動電源充電😂,True,-0.9878374338150024,negative,True,-0.9878374338150024,negative,False,,,True,-0.9878374338150024,negative,False,,
你所謂的快充指那些、通常商品標示22.5w、就是最大輸出、或是講講你的手機是哪型號的 || 官方寫USB-C 和自帶線最高 20W，USB-A 可以跑到 22.5W，快充沒毛病低 || 我是沒發生過過熱情況。頂多外殼溫溫的、不會燙手 || 可以帶上機艙=低於航空規範上限；加上飛利浦的產品標示很明確，符合國際航空規定，放心帶吧！,True,-0.9719974398612976,negative,True,0.2,neutral,True,-0.9719974398612976,negative,False,,,False,,
對！這顆 141g 很有感，背小包去演唱都不會肩膀痠痛XD || 沒有耶，我錄了一小時，手機背後只有微溫，不會燙手。 || 我個人覺得夠用，演唱會六小時＋回家剪片都還能撐，除非要長途旅行才會考慮帶大顆的,True,-0.9876603484153748,negative,False,,,False,,,False,,,False,,
同樣10000mah 18650要三顆 21700只要二顆 || 少寫一個0，已修正 || 真的便宜，而且不怕買到假貨 || +5 || GOOD~5 || 謝謝繼續努力,False,,,False,,,False,,,False,,,True,0.2,neutral
然後會忘記充電 || 謝謝誇獎,False,,,True,-0.5410087704658508,negative,False,,,False,,,False,,
"給他一個60w的充電速度應該就足夠使用 || shintaro可去看最新回覆的文章、有安克165w自帶線評測 || 但A1695實際上就只有雙路 3個以上會有2~3個裝置變成5V慢充 || 但A1695實際上就只有雙路 , 充3個以上會有2~3個裝置變成5V慢充 || yt有新的評測（對岸的），他說多台3以上不建議 || A1695實際上就只有雙路 , 充3個以上會有2~3個裝置變成5V慢充 ||",False,,,True,-0.5858368277549744,negative,True,-0.5858368277549744,negative,False,,,False,,
超爛，品質超不穩定 || 有喔，一個月至少都會輪一次,False,,,False,,,False,,,False,,,False,,
5,False,,,False,,,False,,,False,,,False,,
超猛5 || 最近電池軟包的盡量不要買,False,,,False,,,False,,,False,,,False,,
LG gram14’ || 個人覺得蠻堅固的,False,,,False,,,False,,,False,,,False,,
qazwsx613203你想表達什麼?👺 || qazwsx613203你想表達什麼?[偷笑] || 是的沒錯,False,,,False,,,False,,,False,,,False,,
謝謝,False,,,False,,,False,,,False,,,False,,
內文有說，兩科都是21700的電芯，我自己有買48 好用 || 拆解才知道 || 我手上是廠商送側的產品，已經還回去了，不過我在測試過程中並沒有發生這樣的狀況，不過有一種可能是溫度過高自動停止充電,False,,,True,-0.6515432596206665,negative,False,,,False,,,False,,
是電子零件大國而已，全部合在一起的話市場太小養不出來 || 沒有看到3個c標誌，就不行,True,-0.8441378474235535,negative,False,,,False,,,False,,,False,,
5 || 18650也燒過不少次,False,,,False,,,False,,,False,,,False,,
沒錯喔，台灣多少中標還不知道 || 墨x科技 亞x元素 打死不退款 出事再換一顆垃圾給你 || 那一堆裝死的台灣廠商，不就更沒良心？ || 不退款原因很簡單，原本定價太高，陪你一顆成本才多少錢，退款會直接跑路啦 || 利潤超高 當然打死不退錢 哈 || 問題是買不到啊[笑到噴淚][笑到噴淚] || 電池用的比較好體積控制的也很好但輸出輸入都不如新款的做工其實是差不多的 || 那個165是小米私有協,True,-0.7506495714187622,negative,True,-0.7506495714187622,negative,True,-0.7506495714187622,negative,False,,,True,-0.7506495714187622,negative
我也覺得為什麼要兩條線同時充同一個行動電源？買兩顆或者買大一點容量的不就好了又省錢… || 手機、行動電源都要百w自充速度！什麼年代了還要慢慢充~是當作慢充不會熱啊 || 小米這行動電源最大敗筆就是自帶線這條！這條線壞了就沒有小米私有協議快充~而且也不支援自家快充協議 || 其實有沒有代理商都無所謂，電商平台都有販售 || 是阿~自己淘回來比那些代購電商便宜很多,True,-0.6713409423828125,negative,True,-0.6713409423828125,negative,True,-0.6713409423828125,negative,False,,,True,0.2,neutral
評測自己懂得，不懂不敢亂說藍 || 5 || 天氣炎熱，無線充電真的很慢,False,,,True,-0.8661016821861267,negative,True,-0.8661016821861267,negative,False,,,False,,
"感謝你的收看 || 沁楀我的測試完就售出了,也沒辦法幫你測，不好意思欸 || 不會 非常感謝！",False,,,False,,,False,,,False,,,False,,
文章開頭不是寫了嗎 || 狼大評測這麼仔細，就寫在文章開頭，你連看都不看，這樣狼大情何以堪啊.... || 大概懶得仔細看，直接問習慣了 ... || 一代是10400那顆嗎?,True,-0.9027312994003296,negative,False,,,False,,,False,,,False,,
突然想到一點、這顆哪購入的？ || 我沒有這顆小米 50W 雙模行動電源 1A1C充電頭，只是上網抓規格 || USB充電檢測儀....我有，電源線原廠的我有好幾條。會上來問我是想增加些知識，另一方面如有同問題的網友，或許在這也可找到他們的答案 ...感謝您的建議[拇指向上] || [謝謝]這是我的疏失，我昨天用的是 Type-C 3A-33W充電頭 || 非常感謝您詳細的解說[拇指向上]，這除了,True,0.2,neutral,True,-0.8850335478782654,negative,True,-0.8850335478782654,negative,False,,,False,,
德原醬油店斷了不算什麼，再自己帶線就行了，缺點是這種花裡胡俏的行充，往往是最容易出問題的 || [謝謝指教] || a32063206他哪裡推薦了？他不是說超過八百元建議買其他牌嗎？ || RRRRWWWW哈哈、到底哪個點推薦了？ || 你現在就遇到了，我也第一次看到這樣情況，分期買行動電源，@@,False,,,True,-0.701512336730957,negative,True,-0.701512336730957,negative,False,,,True,-0.701512336730957,negative
比方說?甚麼品牌推薦 || 卡 || 說的也是 || 5,False,,,False,,,False,,,False,,,False,,
先說這是支那公司還是臺國公司 我不太清楚 || 請問摩比亞跟WK是同一家公廠？ || WK我不知道是什麼,False,,,True,-0.7493628859519958,negative,False,,,False,,,False,,
現在是大陸國內航班安檢沒CCC的充電寶直接在過安檢檢查站直接拋棄，不然不給過關上機。港澳台比照國際航班安檢。之後上市的充電寶要強制CCC檢驗認證。 || 2024年8月後才強制的。,True,-0.8815892338752747,negative,True,-0.8680848479270935,negative,False,,,False,,,False,,
"GOOD~5 || 5推 || 之前意外買到 ""牛角牌"" 的磁吸行動電源自帶線那款，也是體積小又超方便，重點充的速度超快 || 自帶線真的不錯，就不會忘了帶一條短線了，假使真的壞了，拿一條線插上去也可以充電囉，哪天自帶線掛了我再來回報(不過我只有旅遊才用，應該可以用好幾年)。[XD] || 不用猶豫，那條線不礙事的",True,-0.9915809035301208,negative,True,0.2,neutral,True,-0.991751492023468,negative,False,,,False,,
"感謝您的專業分享, 我這個也會顯示協議呦 || 你這個確實還挺多 哈哈, 但我那個也會顯示一些",False,,,False,,,False,,,False,,,False,,
我貼的酷態科那幾款都有阿 || 我知道的是x200pro 不支援二次握手（不一定會跑最高功率），舉例來說，酷態科這顆協定只有apple ，再來就是pd3.0了，一次握手就是最高，我排的第一位anker 就可能跑融合快充，即使他也有pps5a || vivo 手機是哪個型號？我的感覺是200比100充電瓦數限制的更多 || 剛大概點了一下、小米官方旗艦店也是不行、只能私人集運方式、酷態科官方旗艦店、,True,-0.7887924313545227,negative,True,0.2,neutral,False,,,False,,,False,,
他們前年才發生行動電源事情，新聞報導很大 || 貼牌垃圾 || 貼牌垃圾,True,-0.9454419612884521,negative,False,,,False,,,False,,,False,,
你是不是搞錯時間點了，人家公告的是2023年，現在都2025年了，我發這篇文，已是很久很久了！ || 喔喔 我最近才在官網看到 才想說去撿個便宜[都買][沒有不敬的意思],False,,,False,,,False,,,False,,,True,0.2,neutral
拍謝前面沒回到，差拔不會斷連啊,False,,,False,,,False,,,False,,,False,,
基本上就是買了又賣賣了又買這顆是第一顆有廠商願意提供測試品 || 橫放可以 || 相似支架功能的有，但這顆不是公版 || 5推 || 贊成5~,False,,,False,,,False,,,False,,,False,,
好的我研究一下 || 小米除了軟包電池，其他真的很耐用 || 已經很久一段時間沒有買小米行動電源了、以前買的都是早期的 || 保固內內，免費升級換新，但是不是我喜歡的電芯種類 || 拼裝的，焊電似乎不能跑大電流，安全比較重要 || 這款真的是好用啊可是品質差.. || 用上21700就不會在乎他的體積了，而是穩定耐用 || 換找金屬殼的吧，應該是熱掛的?個人也有P10000QCD，使用1年4個月了,True,-0.9461799263954163,negative,True,-0.9461799263954163,negative,False,,,True,-0.9461799263954163,negative,False,,
這就不知道了，但品牌方都還沒出來，或許過幾天就會知道了 || FB已經有公告召回，不過只有限定兩個型號的特定生產序號。非該限定生產序號回收的使用者，大概只能繼續提心吊膽的用行動電源。 || 亞果 || sky_wind所以現在又甩鍋給大陸了？這麼怕死怕爆炸，怎麼都交由大陸製造？連川普都用中國製行動電源，人家怎不怕爆炸？以後臺灣人犯錯，也說是中國人算了，反正也是中國臺灣省人。[XD] || 所以商品,True,-0.8167998790740967,negative,False,,,False,,,False,,,False,,
那顆我看評價不是很好(甚至會割手) 才想說有沒有別款推薦的 || 其實也不用橋接線 如果要線的話淘寶找6V的就有可能支援了 || 還有 Realme是有出過Vooc閃充電源的 只是下架絕版了 || 你是說那顆18W的假閃充嗎 || 要不去淘寶看看一加100W移動電源！ || 京造那顆比他好,False,,,True,0.2,neutral,True,-0.7016680240631104,negative,False,,,False,,
"暖心+5推 || 暖心+5推 || 外表質感 不表示內容物實在 || 5 || 你別誤會啊！我只是認為你蠢而已沒別的意思！因為你明知貼牌產品的風險還把金錢賠償等放在安全之上，試問今天行動電源你拿著手掌被炸斷焦黑截肢,賠你200萬好了你炸爛手能夠復原？你說你蠢不蠢 || 是是,就你最聰明,祝你小米一輩子不會爆炸 || 台灣認證最不可靠了 產地都能洗了 || 要知道苹果公司是没有任何制造能力的，包括很",True,-0.9690985083580017,negative,False,,,False,,,True,0.2,neutral,True,-0.7828373312950134,negative
可以邊幫行動電源充電，一邊使用無線充電功能，但速度偏慢，要充滿行動電源加手機可能要沖一個晚上,False,,,True,-0.9342204332351685,negative,True,-0.9342204332351685,negative,False,,,False,,
GOOD~5,False,,,False,,,False,,,False,,,False,,
不行,False,,,False,,,False,,,False,,,False,,
完全不會喔 我放口袋的！我是搭樂桃 || 哈哈太喜歡日本了 || 方便又可以拍照拍的盡興，免得拍太多照片沒有電量 || 哈哈哈哈😄 || 對啊非常方便 || [我是你就買了][我是你就買了] || 我有裝手機殼還是可以充電哦 || 很樸素的配色 || [讚][讚][讚],False,,,True,-0.9866513013839722,negative,False,,,False,,,False,,
老婆那邊有一台10000mAh的，嫌太重不想帶，他會借一個5000的，我再買一個5000的。另兩個是小學生(一個近日才獲得手機，另一個出國才會配給他)，所以行動電源使用率不高。 || 會帶2個5000的，另兩個小學生(手機沒電就算了) || 考慮重量問題，先放入口袋名單，但A1633很吃插座的空間，A1636不錯 || 1萬的買了後，之後也會因重量懶得帶，所以選輕的，很感謝你用心回覆 || MIL,True,-0.8644019961357117,negative,True,0.2,neutral,False,,,False,,,True,-0.9065235257148743,negative
支持小電流模式就是讚啦！！不過它需要長按10秒才能進入該模式。不像小米連按兩次。 || 那一款這麼厲害 || 買沒有支援PD的或者不要插TypeC的孔應該就有了,True,0.2,neutral,True,-0.5357149243354797,negative,True,-0.5357149243354797,negative,False,,,False,,
是的子彈很輕 塑膠感很重，我想警察一看就知道真假了，況且放在包包內，他們也無權對你收身收包 || 裝飾彈，各大生存遊戲店機乎都有賣，露天還有賣進口已擊發過的彈殼，那個我不確定合不合法 || 感謝分享 || 你先，我隨後跟上[笑到噴淚] || 出了我一定買[rock],True,-0.869870126247406,negative,False,,,False,,,True,-0.869870126247406,negative,False,,
我自己覺得吸的還蠻緊的耶！我吸著直接丟包包或放口袋都沒有影響到~但如果真的很很大力甩應該還是會掉哈哈哈哈 || 而行動電源的轉換率就是衡量倒入另一個容器中的水占你原本一桶水的比例。轉換率越高，損耗的水越少，也就是說，你能利用的電量越多。 || 用5V充電就可以減少(不能全部)轉換率的影響,True,-0.9870801568031311,negative,True,-0.6256369948387146,negative,False,,,False,,,False,,
"該找塊農田挖個洞暫時埋起來? 電池是有毒的，你對得起你祖先. 若你有很多老舊的，就回收。1人只需1~2顆就夠了，定期每2~3年就換新，舊的回收 || 電子軍火庫?? || sapi68新年快樂阿,感謝你的好話,但其實是11個[笑到噴淚] || 真的覺得一代不如一代 難怪大學生那麼多",True,-0.5630332231521606,negative,True,0.2,neutral,False,,,False,,,False,,
貼牌機無誤 || 好像也是,False,,,False,,,False,,,False,,,False,,
是喔，我之前買的華碩行動電源，放在手提包裡面，被打翻的晚餐湯汁進水損壞。拆開後，裡面的18650完全沒有任何，只有紅色的外皮，我一直以為是用日本的三洋電池。,False,,,False,,,False,,,False,,,False,,
誘騙線一條太貴了。好像一條都兩三百、我這顆也才不到700。 || 希望多協議的越出越多。吃個飯就把手機充飽就是舒服。小米自帶線跑OPPO只能跑到27W所以沒買這顆 || 第三方行動電源的、vivo的要找有pps檔位、沒記錯的話,True,0.2,neutral,True,-0.7612648010253906,negative,True,-0.8281694054603577,negative,False,,,True,-0.8968513607978821,negative
我沒有用過其他的無線充XD 但這款單就續航的話跟我以前的比起來是真的猛 || 霧面的也比較有質感,False,,,False,,,True,-0.9872784614562988,negative,True,0.2,neutral,False,,
"看自己認定""卡""的定義, 很多人在充電孔裝了吊繩鉤不覺得卡, 有人卻覺得卡; 也有很多人貼氣囊支架覺得實用不卡, 那自己黏或磁吸支架卡不卡就看自己",False,,,True,-0.941767156124115,negative,True,-0.941767156124115,negative,False,,,False,,
不要入手二手行動電源說法也太廣，外觀不佳如曾經大力摔過當然就不用花錢去買，新的行動電源也沒多貴，不過我是輕度用戶，我都是買新的，換回家人舊的來用. || 這樣的設計都靠很近 難怪 || 雖然是小牌，但是沒有快充，也使用好幾年的插座（type C） || 好的 || 廠商有處理，這年頭還是小心不要公布，怕惹禍上身。,True,0.2,neutral,True,0.2,neutral,False,,,True,-0.9781599640846252,negative,True,-0.9781599640846252,negative
"好的,謝謝 || 都是官網購買",False,,,False,,,False,,,False,,,False,,
還好退款是由募資平台退  當天聯絡募資平台當天就處理好了不然由倍加能退  又不知道是何年何月了,False,,,False,,,False,,,False,,,False,,
可以不帶插頭出門嗎? 可以。插頭幾公克?文內有寫，可自行運算。“合體下重量僅272克，單行動電源為226克”,True,-0.5682910680770874,negative,False,,,False,,,False,,,False,,
小米行動電源2代還在用[大笑] 這種東西本來就是拼人品+習慣 電池這種東西要看使用者怎麼使用 || 感謝建議！ || 最主要的是穩定輕小好攜帶， || 威剛好用！可充電很多次 || 小米的規格一樣還比較便宜，看來應該考慮這款才對[笑] || +5推 || 之前沒看到這個！看來是更好的選擇 || 如果你是要極度輕量化，電池２１７００可更換壽命長，價格俗又便宜，可以參考ＡＲＭＹＴＥＫ　ＨＡＮＤＹ　Ｃ１,True,-0.974675714969635,negative,True,-0.9703027606010437,negative,False,,,False,,,True,0.2,neutral
請問行動電源可以用濕紙巾擦嘛?! || 請問行動電源可以用濕紙巾擦嘛?! || 我一直都這樣用 擦的蠻乾淨的[微笑],False,,,False,,,False,,,False,,,False,,
其實夠，除非是重度使用者，不然對日常用來充手機和手錶是完全足夠👌 || 速度我覺得還可以！個人體感大概和 Apple Watch 原廠充電速度差不多 || 真的有差，尤其是在快充的時候，這顆完全不會發熱，之前用過不少不知名的電芯的行動電源，溫度升得很明顯⋯⋯ || 轉換效率有七成，還可以接受 || 七成轉換率這邏輯⋯！？ 請讓我稱呼你數學大師 || 聽狼大的就對了!,True,-0.5123693346977234,negative,True,0.2,neutral,False,,,False,,,False,,
10000mAh、通常都是在55XX~65XX之間額定容量 || 標示容量是電池輸出的容量，額定容量是行動電源輸出的容量 || 二合一，自帶蘋果跟Type-C。 || 這款45w的應該也是最近新款的、之前款的好像都是22.5w的樣子、這些都是淘寶那邊過來的、募資還要1980元、只能說募資這種的、完全不會去看、只有貴而已 || 1980元寧願去買其他品牌 || 有些筆電要求type c充電至少65W,False,,,True,-0.8068241477012634,negative,True,-0.8664467334747314,negative,False,,,True,-0.8068241477012634,negative
小聲點，不要讓大家知道，哈哈 || 我知道會變差，但沒想到變這麼差，如果留這種無意義的言論，請按上一頁離開就好 || 想太多 我從padfone s開始用無線充電手機至今10年 沒問題 || 有人說「PFS的無線充電有點慢，常常充了一個晚上也沒充飽」。這樣也沒問題，只能說信仰無敵。 || 無線充環境溫度也很影響效率台灣無線充只有冬天二十度以下時比較好用,True,-0.9378831386566162,negative,True,-0.9378831386566162,negative,True,-0.9462316036224365,negative,False,,,False,,
你內心都有答案了上來問幹嘛? || 問使用過的大大啊!這樣也不行? || 反正包郵到台灣，先買一個，ok再續購,True,-0.7337794899940491,negative,False,,,False,,,False,,,False,,
是充電寶 能量棒是指這種小型的 || 其實台灣習慣用語都還是行動電源，對岸則是習慣稱呼為充電寶，而能量棒是近期這種棒狀的行動電源的新暱稱 ~,True,0.2,neutral,True,-0.9748991131782532,negative,False,,,False,,,False,,
要就等第二批，數字有差！剛送來我這評測完了，速度差超多，通通20W達標[笑到噴淚][笑到噴淚][笑到噴淚] || 看售價更是誇張 || Cuktech這批貨問題，要補寄來給小弟重新測試了！他們應該沒想到開箱的家裡有檢測器，可以測協定跟實際W數，反正給Cuktech機會到底實戰有無達標就看後續送來的產品，測出來有無該有協定支援了。[茶] || 先退貨了 謝謝你們的測試 || 責任義務，後續等實際正式,True,-0.7724999189376831,negative,True,-0.7724999189376831,negative,False,,,False,,,False,,
我也是跟身邊的親朋同事說~ 每個還是都喜歡用無線充電! 講到不想講了!,False,,,True,-0.7038923501968384,negative,True,-0.7038923501968384,negative,False,,,False,,
"type c能走很多種協議，協議一致再來看profile。這組合下看來只能跑5V3A。 || 的確PD協議也有QC的，甚至奇其他的，但也差不多這樣子，通常給行動電源方面充電方面應該就這兩種較多PD跟QC，就看使用的線材而已，比較有可能是挑線材或是充電頭之類的 || 應該是台米原廠的67W才對,65W應該是樓主誤植了 || 33W 也是紅米10S手機的 || 只能說行動電源挑充電頭、呵呵、理論上應該",False,,,True,-0.8934552073478699,negative,True,-0.8934552073478699,negative,False,,,False,,
好喔感謝提供,False,,,False,,,False,,,False,,,False,,
內文量測起來的重量是275g唷 || type-c孔可以充電唷，每款行動電源設計取向不同唄。,True,-0.948455274105072,negative,True,-0.948455274105072,negative,True,-0.948455274105072,negative,True,-0.948455274105072,negative,False,,
65W 100W主要是給筆電用的 || 設定15V，10A輸出，充電瓶後救車，這一點好強好實用!!!,False,,,True,-0.9879528880119324,negative,False,,,False,,,False,,
自帶線做成掛繩形式我想只是一種收納方式而不是要拿來掛著或是吊東西畢竟有些行動電源為了追求最小體積是沒有預留線槽的 || 請問你是什麼手機呢，我是s22插自帶的線也會有閃電符號出現喔 || Xz3 s24ultra 用自帶藍色那條都無法顯示閃電符號。手邊剛好有兩台不同顏色同樣款式的行動電源，用兩台自帶藍色的線 都沒顯示閃電符。,True,0.2,neutral,False,,,True,-0.9370763301849365,negative,True,-0.8498996496200562,negative,False,,
可以，測試輕薄文書比電是可以充的但真的慢 || 水喔，感謝提供資訊 || 耐不耐刮我覺得其次白色是真的超級不耐髒,True,0.2,neutral,True,-0.9036710262298584,negative,False,,,False,,,False,,
懷孕了，裡面用的是電池包，不要再用下去了...(用柱狀電芯的，18650或是21700的會比較耐用，但體積會偏大，偏厚),True,-0.6776160001754761,negative,False,,,False,,,False,,,False,,
"好的，謝謝！ || 了解，謝謝！ || 好的，感謝告知 || 謝謝您的回答~ || errrr ...dc,ac... || 了解所以其實手機也是同理嗎？雖然手機規格都會寫說110-240v但其實要看的還是充電頭？謝謝您 || 感謝您 || 好的，謝謝您 || 感謝告知~",False,,,True,-0.8470441102981567,negative,False,,,False,,,False,,
謝謝,False,,,False,,,False,,,False,,,False,,
"可是有幾台容量比其他的還大,不知道是須標還是真的 || 我也是常跟朋友說買錯比買貴更貴這句話唉! || 任何產品都會有良率問題，所以請買台灣公司貨，這樣保固內出問題才有機會送回台灣小米處理。",True,-0.7287386655807495,negative,False,,,False,,,False,,,True,-0.7287386655807495,negative
"是啊，這顆竟然沒人拆，反而用鋰聚合物的P20000QCD有人拆解 || 是5 || 不能邊充邊放跟電源IC與電芯品質都有關係,倒是P10000QCD的USB-C只有18W,對蘋果與三星手機來說就不合用了~ || Adata早幾年沒快充協議時的產品，有標榜旁路充電（直通充電）的功能，反而現在的產品沒有這種功能了 || 不可能，現在封裝都是用超音波密封外殼的，拆開就壞了",False,,,True,0.2,neutral,True,-0.9185405373573303,negative,False,,,False,,
"可是有幾台容量比其他的還大,不知道是須標還是真的 || 我也是常跟朋友說買錯比買貴更貴這句話唉! || 任何產品都會有良率問題，所以請買台灣公司貨，這樣保固內出問題才有機會送回台灣小米處理。",True,-0.7287386655807495,negative,False,,,False,,,False,,,True,-0.7287386655807495,negative
