date,¥·§∆ÒS•Rπqæπ,score
2020/11/15,0,0
2020/11/22,36,36
2020/11/29,18,18
2020/12/6,25,25
2020/12/13,51,51
2020/12/20,100,100
2020/12/27,32,32
2021/1/3,41,41
2021/1/10,26,26
2021/1/17,34,34
2021/1/24,24,24
2021/1/31,0,0
2021/2/7,24,24
2021/2/14,18,18
2021/2/21,31,31
2021/2/28,24,24
2021/3/7,18,18
2021/3/14,21,21
2021/3/21,52,52
2021/3/28,27,27
2021/4/4,18,18
2021/4/11,22,22
2021/4/18,0,0
2021/4/25,22,22
2021/5/2,0,0
2021/5/9,26,26
2021/5/16,0,0
2021/5/23,0,0
2021/5/30,0,0
2021/6/6,0,0
2021/6/13,34,34
2021/6/20,27,27
2021/6/27,22,22
2021/7/4,21,21
2021/7/11,19,19
2021/7/18,30,30
2021/7/25,0,0
2021/8/1,0,0
2021/8/8,23,23
2021/8/15,19,19
2021/8/22,20,20
2021/8/29,20,20
2021/9/5,0,0
2021/9/12,24,24
2021/9/19,21,21
2021/9/26,28,28
2021/10/3,27,27
2021/10/10,32,32
2021/10/17,0,0
2021/10/24,26,26
2021/10/31,31,31
2021/11/7,31,31
2021/11/14,25,25
2021/11/21,31,31
2021/11/28,0,0
2021/12/5,23,23
2021/12/12,23,23
2021/12/19,21,21
2021/12/26,26,26
2022/1/2,40,40
2022/1/9,0,0
2022/1/16,18,18
2022/1/23,18,18
2022/1/30,24,24
2022/2/6,28,28
2022/2/13,36,36
2022/2/20,29,29
2022/2/27,31,31
2022/3/6,27,27
2022/3/13,25,25
2022/3/20,28,28
2022/3/27,28,28
2022/4/3,30,30
2022/4/10,39,39
2022/4/17,18,18
2022/4/24,14,14
2022/5/1,33,33
2022/5/8,34,34
2022/5/15,14,14
2022/5/22,29,29
2022/5/29,28,28
2022/6/5,29,29
2022/6/12,31,31
2022/6/19,24,24
2022/6/26,24,24
2022/7/3,27,27
2022/7/10,22,22
2022/7/17,18,18
2022/7/24,34,34
2022/7/31,19,19
2022/8/7,28,28
2022/8/14,26,26
2022/8/21,16,16
2022/8/28,15,15
2022/9/4,39,39
2022/9/11,40,40
2022/9/18,35,35
2022/9/25,36,36
2022/10/2,51,51
2022/10/9,41,41
2022/10/16,29,29
2022/10/23,36,36
2022/10/30,35,35
2022/11/6,36,36
2022/11/13,39,39
2022/11/20,32,32
2022/11/27,19,19
2022/12/4,35,35
2022/12/11,25,25
2022/12/18,36,36
2022/12/25,25,25
2023/1/1,31,31
2023/1/8,24,24
2023/1/15,18,18
2023/1/22,25,25
2023/1/29,15,15
2023/2/5,25,25
2023/2/12,22,22
2023/2/19,30,30
2023/2/26,24,24
2023/3/5,21,21
2023/3/12,19,19
2023/3/19,32,32
2023/3/26,21,21
2023/4/2,29,29
2023/4/9,19,19
2023/4/16,38,38
2023/4/23,15,15
2023/4/30,24,24
2023/5/7,33,33
2023/5/14,20,20
2023/5/21,31,31
2023/5/28,31,31
2023/6/4,18,18
2023/6/11,24,24
2023/6/18,24,24
2023/6/25,27,27
2023/7/2,33,33
2023/7/9,42,42
2023/7/16,34,34
2023/7/23,24,24
2023/7/30,37,37
2023/8/6,30,30
2023/8/13,27,27
2023/8/20,29,29
2023/8/27,25,25
2023/9/3,24,24
2023/9/10,32,32
2023/9/17,58,58
2023/9/24,54,54
2023/10/1,44,44
2023/10/8,43,43
2023/10/15,52,52
2023/10/22,31,31
2023/10/29,45,45
2023/11/5,60,60
2023/11/12,40,40
2023/11/19,25,25
2023/11/26,32,32
2023/12/3,22,22
2023/12/10,32,32
2023/12/17,32,32
2023/12/24,22,22
2023/12/31,31,31
2024/1/7,18,18
2024/1/14,34,34
2024/1/21,31,31
2024/1/28,38,38
2024/2/4,18,18
2024/2/11,37,37
2024/2/18,20,20
2024/2/25,28,28
2024/3/3,44,44
2024/3/10,33,33
2024/3/17,37,37
2024/3/24,39,39
2024/3/31,28,28
2024/4/7,33,33
2024/4/14,23,23
2024/4/21,0,0
2024/4/28,21,21
2024/5/5,29,29
2024/5/12,28,28
2024/5/19,25,25
2024/5/26,34,34
2024/6/2,22,22
2024/6/9,47,47
2024/6/16,21,21
2024/6/23,20,20
2024/6/30,30,30
2024/7/7,28,28
2024/7/14,34,34
2024/7/21,32,32
2024/7/28,35,35
2024/8/4,38,38
2024/8/11,25,25
2024/8/18,26,26
2024/8/25,31,31
2024/9/1,44,44
2024/9/8,36,36
2024/9/15,51,51
2024/9/22,56,56
2024/9/29,25,25
2024/10/6,48,48
2024/10/13,60,60
2024/10/20,35,35
2024/10/27,22,22
2024/11/3,37,37
2024/11/10,39,39
2024/11/17,32,32
2024/11/24,23,23
2024/12/1,32,32
2024/12/8,33,33
2024/12/15,27,27
2024/12/22,35,35
2024/12/29,26,26
2025/1/5,39,39
2025/1/12,30,30
2025/1/19,0,0
2025/1/26,0,0
2025/2/2,37,37
2025/2/9,28,28
2025/2/16,31,31
2025/2/23,23,23
2025/3/2,23,23
2025/3/9,27,27
2025/3/16,41,41
2025/3/23,29,29
2025/3/30,20,20
2025/4/6,32,32
2025/4/13,30,30
2025/4/20,26,26
2025/4/27,25,25
2025/5/4,29,29
2025/5/11,34,34
2025/5/18,25,25
2025/5/25,24,24
2025/6/1,24,24
2025/6/8,36,36
2025/6/15,24,24
2025/6/22,27,27
2025/6/29,23,23
2025/7/6,33,33
2025/7/13,35,35
2025/7/20,19,19
2025/7/27,32,32
2025/8/3,48,48
2025/8/10,47,47
2025/8/17,38,38
2025/8/24,45,45
2025/8/31,44,44
2025/9/7,37,37
2025/9/14,45,45
2025/9/21,53,53
2025/9/28,55,55
2025/10/5,51,51
2025/10/12,53,53
2025/10/19,41,41
2025/10/26,51,51
2025/11/2,41,41
2025/11/9,51,51
2025/11/16,46,46