date,type c¦æ°Ê¹q·½,score
2020/11/15,0,0
2020/11/22,0,0
2020/11/29,72,72
2020/12/6,52,52
2020/12/13,56,56
2020/12/20,0,0
2020/12/27,59,59
2021/1/3,0,0
2021/1/10,0,0
2021/1/17,58,58
2021/1/24,0,0
2021/1/31,78,78
2021/2/7,64,64
2021/2/14,0,0
2021/2/21,0,0
2021/2/28,0,0
2021/3/7,0,0
2021/3/14,0,0
2021/3/21,52,52
2021/3/28,0,0
2021/4/4,0,0
2021/4/11,0,0
2021/4/18,57,57
2021/4/25,0,0
2021/5/2,0,0
2021/5/9,0,0
2021/5/16,0,0
2021/5/23,0,0
2021/5/30,0,0
2021/6/6,0,0
2021/6/13,0,0
2021/6/20,0,0
2021/6/27,0,0
2021/7/4,0,0
2021/7/11,0,0
2021/7/18,0,0
2021/7/25,0,0
2021/8/1,0,0
2021/8/8,0,0
2021/8/15,0,0
2021/8/22,0,0
2021/8/29,0,0
2021/9/5,0,0
2021/9/12,0,0
2021/9/19,62,62
2021/9/26,0,0
2021/10/3,76,76
2021/10/10,0,0
2021/10/17,0,0
2021/10/24,67,67
2021/10/31,0,0
2021/11/7,68,68
2021/11/14,0,0
2021/11/21,54,54
2021/11/28,0,0
2021/12/5,60,60
2021/12/12,67,67
2021/12/19,56,56
2021/12/26,0,0
2022/1/2,0,0
2022/1/9,0,0
2022/1/16,0,0
2022/1/23,0,0
2022/1/30,0,0
2022/2/6,0,0
2022/2/13,48,48
2022/2/20,62,62
2022/2/27,64,64
2022/3/6,65,65
2022/3/13,39,39
2022/3/20,0,0
2022/3/27,36,36
2022/4/3,32,32
2022/4/10,35,35
2022/4/17,48,48
2022/4/24,0,0
2022/5/1,34,34
2022/5/8,0,0
2022/5/15,0,0
2022/5/22,0,0
2022/5/29,40,40
2022/6/5,43,43
2022/6/12,0,0
2022/6/19,0,0
2022/6/26,0,0
2022/7/3,0,0
2022/7/10,0,0
2022/7/17,0,0
2022/7/24,35,35
2022/7/31,52,52
2022/8/7,36,36
2022/8/14,42,42
2022/8/21,50,50
2022/8/28,39,39
2022/9/4,78,78
2022/9/11,54,54
2022/9/18,52,52
2022/9/25,69,69
2022/10/2,0,0
2022/10/9,0,0
2022/10/16,53,53
2022/10/23,67,67
2022/10/30,0,0
2022/11/6,0,0
2022/11/13,49,49
2022/11/20,41,41
2022/11/27,0,0
2022/12/4,0,0
2022/12/11,43,43
2022/12/18,0,0
2022/12/25,0,0
2023/1/1,48,48
2023/1/8,0,0
2023/1/15,49,49
2023/1/22,0,0
2023/1/29,57,57
2023/2/5,0,0
2023/2/12,47,47
2023/2/19,59,59
2023/2/26,36,36
2023/3/5,55,55
2023/3/12,55,55
2023/3/19,0,0
2023/3/26,39,39
2023/4/2,38,38
2023/4/9,59,59
2023/4/16,34,34
2023/4/23,0,0
2023/4/30,45,45
2023/5/7,37,37
2023/5/14,0,0
2023/5/21,0,0
2023/5/28,0,0
2023/6/4,0,0
2023/6/11,35,35
2023/6/18,0,0
2023/6/25,0,0
2023/7/2,0,0
2023/7/9,0,0
2023/7/16,0,0
2023/7/23,0,0
2023/7/30,0,0
2023/8/6,0,0
2023/8/13,59,59
2023/8/20,0,0
2023/8/27,39,39
2023/9/3,0,0
2023/9/10,42,42
2023/9/17,58,58
2023/9/24,86,86
2023/10/1,100,100
2023/10/8,60,60
2023/10/15,53,53
2023/10/22,64,64
2023/10/29,47,47
2023/11/5,83,83
2023/11/12,58,58
2023/11/19,43,43
2023/11/26,59,59
2023/12/3,47,47
2023/12/10,49,49
2023/12/17,0,0
2023/12/24,43,43
2023/12/31,43,43
2024/1/7,0,0
2024/1/14,42,42
2024/1/21,68,68
2024/1/28,46,46
2024/2/4,0,0
2024/2/11,63,63
2024/2/18,0,0
2024/2/25,69,69
2024/3/3,0,0
2024/3/10,66,66
2024/3/17,0,0
2024/3/24,49,49
2024/3/31,0,0
2024/4/7,42,42
2024/4/14,0,0
2024/4/21,0,0
2024/4/28,0,0
2024/5/5,46,46
2024/5/12,0,0
2024/5/19,0,0
2024/5/26,40,40
2024/6/2,0,0
2024/6/9,0,0
2024/6/16,0,0
2024/6/23,0,0
2024/6/30,0,0
2024/7/7,0,0
2024/7/14,0,0
2024/7/21,52,52
2024/7/28,0,0
2024/8/4,0,0
2024/8/11,0,0
2024/8/18,45,45
2024/8/25,60,60
2024/9/1,0,0
2024/9/8,0,0
2024/9/15,46,46
2024/9/22,53,53
2024/9/29,56,56
2024/10/6,0,0
2024/10/13,66,66
2024/10/20,54,54
2024/10/27,0,0
2024/11/3,57,57
2024/11/10,42,42
2024/11/17,0,0
2024/11/24,57,57
2024/12/1,64,64
2024/12/8,70,70
2024/12/15,0,0
2024/12/22,0,0
2024/12/29,0,0
2025/1/5,60,60
2025/1/12,0,0
2025/1/19,0,0
2025/1/26,0,0
2025/2/2,45,45
2025/2/9,0,0
2025/2/16,51,51
2025/2/23,0,0
2025/3/2,0,0
2025/3/9,0,0
2025/3/16,46,46
2025/3/23,0,0
2025/3/30,48,48
2025/4/6,54,54
2025/4/13,0,0
2025/4/20,0,0
2025/4/27,0,0
2025/5/4,47,47
2025/5/11,0,0
2025/5/18,0,0
2025/5/25,0,0
2025/6/1,0,0
2025/6/8,46,46
2025/6/15,79,79
2025/6/22,0,0
2025/6/29,0,0
2025/7/6,64,64
2025/7/13,0,0
2025/7/20,0,0
2025/7/27,0,0
2025/8/3,55,55
2025/8/10,0,0
2025/8/17,0,0
2025/8/24,0,0
2025/8/31,0,0
2025/9/7,0,0
2025/9/14,86,86
2025/9/21,0,0
2025/9/28,0,0
2025/10/5,0,0
2025/10/12,0,0
2025/10/19,0,0
2025/10/26,0,0
2025/11/2,36,36
2025/11/9,40,40
2025/11/16,26,26